Metric,Value,Unit,95_CI_Lower,95_CI_Upper,P_Value,Clinical_Significance
Mean_MARD,9.4,%,8.8,10.0,<0.001,Primary efficacy endpoint met
Hypoglycemia_Detection_Rate,94.2,%,89.1,98.3,<0.001,Excellent detection performance
Hyperglycemia_Detection_Rate,91.7,%,86.5,96.2,<0.001,Good detection performance
Glucose_Variability_Reduction,28.5,%,22.1,34.2,0.002,Significant improvement vs baseline
Time_In_Range_Improvement,23.4,%,18.7,28.1,<0.001,Clinically meaningful benefit
Nocturnal_Hypoglycemia_Reduction,35.2,%,28.5,42.1,<0.001,Major safety improvement
Patient_Satisfaction_Score,4.2,/5.0,4.0,4.4,<0.001,High usability rating
Sensor_Longevity,13.8,Days,13.2,14.4,NS,Meets 14-day target
Calibration_Frequency,2.1,Events/14days,1.8,2.4,NS,Acceptable calibration burden
System_Reliability,99.1,%,98.5,99.6,<0.001,High system reliability
